Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
99,Long,2024-01-24 04:45:00,4905.5,2024-01-24 22:05:00,4891.75,Yes,-2750.0,12.5
101,Short,2024-01-25 08:10:00,4902.75,2024-01-25 14:45:00,4915.5,Yes,-2550.0,12.5
103,Long,2024-01-25 19:25:00,4905.75,2024-01-26 11:15:00,4914.75,No,1800.0,12.5
105,Short,2024-01-26 11:15:00,4914.75,2024-01-26 14:45:00,4928.25,Yes,-2700.0,12.5
107,Long,2024-01-26 19:05:00,4914.5,2024-01-29 04:40:00,4911.25,No,-650.0,12.5
109,Short,2024-01-29 04:40:00,4911.25,2024-01-29 16:15:00,4924.0,Yes,-2550.0,12.5
111,Long,2024-01-30 03:35:00,4954.25,2024-01-30 14:15:00,4941.75,Yes,-2500.0,12.5
113,Short,2024-01-30 18:10:00,4954.0,2024-01-30 18:10:00,4935.25,No,3750.0,12.5
115,Long,2024-01-30 22:45:00,4935.25,2024-01-31 09:25:00,4936.75,No,300.0,12.5
117,Short,2024-01-31 09:25:00,4936.75,2024-01-31 09:25:00,4926.25,No,2100.0,12.5
119,Long,2024-01-31 13:40:00,4926.25,2024-01-31 16:10:00,4911.5,Yes,-2950.0,12.5
121,Short,2024-02-01 03:10:00,4883.75,2024-02-01 03:10:00,4875.5,No,1650.0,12.5
123,Long,2024-02-01 08:10:00,4875.5,2024-02-01 21:30:00,4925.0,No,9900.0,12.5
125,Short,2024-02-01 21:30:00,4925.0,2024-02-01 22:05:00,4938.5,Yes,-2700.0,12.5
127,Long,2024-02-02 04:30:00,4955.25,2024-02-02 14:30:00,4937.5,Yes,-3550.0,12.5
129,Short,2024-02-02 19:10:00,4977.0,2024-02-02 20:30:00,4991.25,Yes,-2850.0,12.5
131,Long,2024-02-05 01:15:00,4973.0,2024-02-05 16:00:00,4958.5,Yes,-2900.0,12.5
133,Short,2024-02-05 20:45:00,4976.5,2024-02-05 20:45:00,4961.0,No,3100.0,12.5
135,Long,2024-02-06 01:55:00,4961.0,2024-02-07 02:40:00,4981.75,No,4150.0,12.5
137,Short,2024-02-07 02:40:00,4981.75,2024-02-07 02:40:00,4975.0,No,1350.0,12.5
139,Long,2024-02-07 06:15:00,4975.0,2024-02-07 14:35:00,4989.75,No,2950.0,12.5
141,Short,2024-02-07 14:35:00,4989.75,2024-02-07 16:10:00,5003.0,Yes,-2650.0,12.5
143,Long,2024-02-08 11:50:00,5009.0,2024-02-08 17:00:00,5011.25,No,450.0,12.5
145,Short,2024-02-08 17:00:00,5011.25,2024-02-08 17:00:00,5014.5,No,-650.0,12.5
147,Long,2024-02-09 03:20:00,5014.5,2024-02-09 09:30:00,5023.0,No,1700.0,12.5
149,Short,2024-02-09 09:30:00,5023.0,2024-02-09 14:35:00,5036.75,Yes,-2750.0,12.5
151,Long,2024-02-12 01:50:00,5044.0,2024-02-12 17:20:00,5058.5,No,2900.0,12.5
153,Short,2024-02-12 17:20:00,5058.5,2024-02-12 17:20:00,5040.25,No,3650.0,12.5
155,Long,2024-02-12 21:25:00,5040.25,2024-02-13 09:50:00,5027.0,Yes,-2650.0,12.5
157,Short,2024-02-14 01:20:00,4969.75,2024-02-14 09:20:00,4983.0,Yes,-2650.0,12.5
159,Long,2024-02-14 15:00:00,4992.0,2024-02-14 18:00:00,4976.75,Yes,-3050.0,12.5
161,Short,2024-02-15 00:35:00,5018.5,2024-02-15 00:35:00,5015.25,No,650.0,12.5
163,Long,2024-02-15 03:45:00,5015.25,2024-02-16 10:00:00,5053.5,No,7650.0,12.5
165,Short,2024-02-16 10:00:00,5053.5,2024-02-16 10:00:00,5037.25,No,3250.0,12.5
167,Long,2024-02-16 14:35:00,5037.25,2024-02-16 15:50:00,5022.5,Yes,-2950.0,12.5
1,Short,2023-12-18 01:30:00,4777.0,2023-12-18 01:30:00,4774.5,No,500.0,20.0
3,Long,2023-12-18 09:20:00,4774.5,2023-12-19 16:30:00,4812.25,No,7550.0,20.0
5,Short,2023-12-19 16:30:00,4812.25,2023-12-19 16:30:00,4811.75,No,100.0,20.0
7,Long,2023-12-19 21:05:00,4811.75,2023-12-20 16:35:00,4824.75,No,2600.0,20.0
9,Short,2023-12-20 16:35:00,4824.75,2023-12-20 16:35:00,4768.5,No,11250.0,20.0
11,Long,2023-12-20 21:00:00,4768.5,2023-12-20 22:00:00,4747.5,Yes,-4200.0,20.0
13,Short,2023-12-21 04:00:00,4761.25,2023-12-21 04:00:00,4770.5,No,-1850.0,20.0
15,Long,2023-12-21 12:35:00,4770.5,2023-12-21 22:45:00,4796.75,No,5250.0,20.0
17,Short,2023-12-21 22:45:00,4796.75,2023-12-21 22:45:00,4789.75,No,1400.0,20.0
19,Long,2023-12-22 03:45:00,4789.75,2023-12-22 15:25:00,4806.25,No,3300.0,20.0
21,Short,2023-12-22 15:25:00,4806.25,2023-12-22 15:25:00,4810.5,No,-850.0,20.0
23,Long,2023-12-22 19:55:00,4810.5,2023-12-22 20:25:00,4788.75,Yes,-4350.0,20.0
25,Short,2023-12-28 01:25:00,4836.0,2023-12-28 01:25:00,4840.25,No,-850.0,20.0
27,Long,2023-12-28 07:00:00,4840.25,2023-12-29 16:45:00,4818.75,Yes,-4300.0,20.0
29,Short,2023-12-29 22:05:00,4814.25,2023-12-29 22:05:00,4815.5,No,-250.0,20.0
31,Long,2024-01-02 11:05:00,4815.5,2024-01-02 12:25:00,4793.5,Yes,-4400.0,20.0
33,Short,2024-01-03 02:10:00,4786.0,2024-01-03 02:10:00,4784.0,No,400.0,20.0
35,Long,2024-01-03 05:40:00,4784.0,2024-01-03 15:05:00,4764.0,Yes,-4000.0,20.0
37,Short,2024-01-03 20:25:00,4768.75,2024-01-03 20:25:00,4739.75,No,5800.0,20.0
39,Long,2024-01-04 21:15:00,4739.75,2024-01-05 10:05:00,4719.75,Yes,-4000.0,20.0
41,Short,2024-01-05 15:30:00,4736.25,2024-01-05 16:05:00,4757.25,Yes,-4200.0,20.0
43,Long,2024-01-05 20:55:00,4723.5,2024-01-08 02:25:00,4741.75,No,3650.0,20.0
45,Short,2024-01-08 02:25:00,4741.75,2024-01-08 02:25:00,4732.0,No,1950.0,20.0
47,Long,2024-01-08 05:25:00,4732.0,2024-01-08 15:45:00,4746.0,No,2800.0,20.0
49,Short,2024-01-08 15:45:00,4746.0,2024-01-08 18:35:00,4767.75,Yes,-4350.0,20.0
51,Long,2024-01-09 02:00:00,4797.25,2024-01-09 14:40:00,4775.0,Yes,-4450.0,20.0
53,Short,2024-01-09 17:15:00,4784.5,2024-01-09 17:15:00,4793.0,No,-1700.0,20.0
55,Long,2024-01-10 14:35:00,4793.0,2024-01-10 21:00:00,4826.5,No,6700.0,20.0
57,Short,2024-01-10 21:00:00,4826.5,2024-01-10 21:00:00,4827.5,No,-200.0,20.0
59,Long,2024-01-11 02:15:00,4827.5,2024-01-11 14:55:00,4807.5,Yes,-4000.0,20.0
61,Short,2024-01-11 21:20:00,4810.5,2024-01-11 21:20:00,4809.5,No,200.0,20.0
63,Long,2024-01-12 03:30:00,4809.5,2024-01-15 04:10:00,4817.0,No,1500.0,20.0
65,Short,2024-01-15 04:10:00,4817.0,2024-01-15 04:10:00,4810.5,No,1300.0,20.0
67,Long,2024-01-15 09:55:00,4810.5,2024-01-16 09:00:00,4787.5,Yes,-4600.0,20.0
69,Short,2024-01-16 13:25:00,4798.25,2024-01-16 13:25:00,4786.0,No,2450.0,20.0
71,Long,2024-01-16 20:35:00,4786.0,2024-01-17 01:25:00,4797.25,No,2250.0,20.0
73,Short,2024-01-17 01:25:00,4797.25,2024-01-17 01:25:00,4790.25,No,1400.0,20.0
75,Long,2024-01-17 04:10:00,4790.25,2024-01-17 10:10:00,4769.75,Yes,-4100.0,20.0
77,Short,2024-01-18 00:35:00,4770.0,2024-01-18 00:35:00,4765.75,No,850.0,20.0
79,Long,2024-01-18 05:20:00,4765.75,2024-01-18 12:50:00,4786.5,No,4150.0,20.0
81,Short,2024-01-18 12:50:00,4786.5,2024-01-18 12:50:00,4791.5,No,-1000.0,20.0
83,Long,2024-01-18 17:20:00,4791.5,2024-01-18 22:50:00,4812.5,No,4200.0,20.0
85,Short,2024-01-18 22:50:00,4812.5,2024-01-18 22:50:00,4814.25,No,-350.0,20.0
87,Long,2024-01-19 05:50:00,4814.25,2024-01-19 20:10:00,4869.5,No,11050.0,20.0
89,Short,2024-01-19 20:10:00,4869.5,2024-01-22 13:30:00,4889.75,Yes,-4050.0,20.0
91,Long,2024-01-22 17:50:00,4884.75,2024-01-23 14:25:00,4888.5,No,750.0,20.0
93,Short,2024-01-23 14:25:00,4888.5,2024-01-23 14:25:00,4877.0,No,2300.0,20.0
95,Long,2024-01-23 18:30:00,4877.0,2024-01-23 21:30:00,4891.0,No,2800.0,20.0
